edad_cliente,departamento_correspondencia,cr_hipotecario,dafuturo,cdt,fond,ingreso_2,act_laboral_general,acierta_plus,categoria_gasto,categoria_ahorro,categoria_credito,madurez_financiera,open_rate,quanto,con_gusto_agrupado,con_digital_d
29,RISARALDA,0,0,0,0,1257012,EMPLEADO,422,Aumento,Minimo Ahorro,Pago normal,0,0.0,1771,sin_informacion,No_digital
29,,0,0,0,0,\N,,716,\N,\N,\N,0,0.27,1708,sin_informacion,No_digital
25,"BOGOTA, D.C.",0,0,0,0,1426940,EMPLEADO,248,\N,\N,\N,0,0.0,1253,sin_informacion,No_digital
20,VALLE DEL CAUCA,0,0,0,0,1746490,INDEPENDIENTE,0,\N,\N,\N,0,0.0,1226,sin_informacion,No_digital
24,,0,0,0,0,\N,,7,\N,\N,\N,0,,1244,sin_informacion,No_digital
30,CUNDINAMARCA,0,0,0,0,1264012,EMPLEADO,769,\N,\N,\N,1,0.18,1935,sin_informacion,Digital
29,"BOGOTA, D.C.",0,0,0,0,\N,,786,\N,\N,\N,1,,2371,sin_informacion,No_digital
20,,0,0,0,0,\N,,611,\N,\N,\N,0,,1580,sin_informacion,No_digital
27,"BOGOTA, D.C.",0,0,0,0,\N,,434,\N,\N,\N,1,,3234,sin_informacion,No_digital
29,ANTIOQUIA,0,0,0,0,7195212,EMPLEADO,741,Bajo,,Pago normal,1,,3552,sin_informacion,Digital
25,,0,0,0,0,\N,,0,\N,\N,\N,0,,0,sin_informacion,No_digital
28,,0,0,0,0,\N,,390,\N,\N,\N,0,,1162,sin_informacion,No_digital
21,,0,0,0,0,\N,,255,\N,\N,\N,1,,1853,sin_informacion,No_digital
28,"BOGOTA, D.C.",0,1,0,0,1356012,EMPLEADO,780,,Minimo Ahorro,,1,,2661,sin_informacion,No_digital
22,,0,0,0,0,\N,,744,\N,\N,\N,0,,1599,sin_informacion,No_digital
27,,0,0,0,0,\N,,246,\N,\N,\N,0,,1844,sin_informacion,No_digital
21,"BOGOTA, D.C.",0,0,0,0,\N,,482,\N,\N,\N,0,,1271,sin_informacion,No_digital
27,CUNDINAMARCA,1,0,0,0,1822212,EMPLEADO,659,\N,\N,\N,1,1.0,2889,sin_informacion,Digital
27,"BOGOTA, D.C.",0,0,0,0,\N,,684,\N,\N,\N,0,0.0,1353,sin_informacion,No_digital
30,SANTANDER,0,0,0,0,2481333,INDEPENDIENTE,668,Bajo,Sin Ahorro,Pago normal,1,,2389,sin_informacion,No_digital
29,VALLE DEL CAUCA,0,0,0,0,1705407,INDEPENDIENTE,462,\N,\N,\N,0,0.0,1153,sin_informacion,No_digital
25,,0,0,0,0,\N,,1,\N,\N,\N,0,,1144,sin_informacion,No_digital
28,VALLE DEL CAUCA,0,0,0,0,1498851,AMA DE CASA,150,\N,\N,\N,0,0.04,2062,sin_informacion,Digital
21,"BOGOTA, D.C.",0,0,0,0,1713012,EMPLEADO,\N,\N,\N,\N,0,,\N,Supermercado,Digital
25,TOLIMA,0,0,0,0,1054012,EMPLEADO,598,\N,\N,\N,0,,1471,sin_informacion,No_digital
27,"BOGOTA, D.C.",0,0,0,1,1465880,EMPLEADO,691,,,,1,0.2,1744,sin_informacion,Digital
24,TOLIMA,0,0,0,0,\N,,726,\N,\N,\N,0,,1471,sin_informacion,No_digital
20,,0,0,0,0,\N,,1,\N,\N,\N,1,,1390,sin_informacion,No_digital
29,,0,0,0,0,\N,,415,\N,\N,\N,0,,1144,sin_informacion,No_digital
28,,0,0,0,0,\N,,423,\N,\N,\N,0,,1817,sin_informacion,No_digital
24,"BOGOTA, D.C.",0,0,0,0,1739898,EMPLEADO,650,\N,\N,\N,1,,1453,sin_informacion,Digital
24,ATLANTICO,0,0,0,0,1413625,EMPLEADO,1,\N,\N,\N,0,,1244,sin_informacion,Digital
28,ATLANTICO,0,0,0,0,908526,EMPLEADO,\N,\N,\N,\N,0,,\N,sin_informacion,No_digital
26,VALLE DEL CAUCA,0,0,0,0,\N,,782,\N,\N,\N,0,0.0,1271,sin_informacion,No_digital
23,"BOGOTA, D.C.",0,0,0,0,\N,,678,\N,\N,\N,0,0.03,1244,sin_informacion,No_digital
25,BOYACA,0,0,0,0,\N,,790,\N,\N,\N,0,,1471,sin_informacion,No_digital
20,,0,0,0,0,\N,,639,\N,\N,\N,0,0.0,1435,sin_informacion,No_digital
29,,0,0,0,0,\N,,0,\N,\N,\N,0,,1290,sin_informacion,No_digital
26,ANTIOQUIA,0,0,0,0,1114033,EMPLEADO,719,\N,\N,\N,0,0.12,1262,sin_informacion,Digital
20,,0,0,0,0,\N,,0,\N,\N,\N,0,,1244,sin_informacion,No_digital
23,NORTE DE SANTANDER,0,0,0,0,\N,,210,\N,\N,\N,0,,1644,sin_informacion,No_digital
23,ATLANTICO,0,0,0,0,1338657,INDEPENDIENTE,1,\N,\N,\N,0,0.0,1499,sin_informacion,Digital
27,,0,0,0,0,\N,,1,\N,\N,\N,0,,1081,sin_informacion,No_digital
30,"BOGOTA, D.C.",0,0,0,0,3662033,INDEPENDIENTE,858,Aumento,Ahorro,Paga mas,1,0.06,2607,,Digital
27,CESAR,0,0,0,0,\N,,306,\N,\N,\N,0,,1717,sin_informacion,No_digital
22,,0,0,0,0,\N,,691,\N,\N,\N,0,,1235,sin_informacion,No_digital
20,CUNDINAMARCA,0,0,0,0,1621335,EMPLEADO,0,Aumento,Minimo Ahorro,,0,0.12,1244,sin_informacion,Digital
25,,0,0,0,0,\N,,0,\N,\N,\N,0,,1244,sin_informacion,No_digital
24,BOLIVAR,0,0,0,0,1028012,EMPLEADO,0,\N,\N,\N,0,0.0,1226,sin_informacion,Digital
18,,0,0,0,0,\N,,0,\N,\N,\N,0,,0,sin_informacion,No_digital
27,BOLIVAR,0,0,0,0,1333254,EMPLEADO,389,\N,\N,\N,0,0.0,1290,sin_informacion,No_digital
26,CALDAS,0,0,0,0,1414444,INDEPENDIENTE,281,\N,\N,\N,0,0.0,1817,sin_informacion,Digital
26,"BOGOTA, D.C.",0,0,0,0,1034012,EMPLEADO,1,\N,\N,\N,0,,1308,sin_informacion,No_digital
24,SANTANDER,0,0,0,0,\N,,661,Bajo,Minimo Ahorro,,0,0.0,1390,Farmacia,No_digital
23,,0,0,0,0,\N,,805,\N,\N,\N,0,,1680,sin_informacion,No_digital
21,"BOGOTA, D.C.",0,0,0,0,1938639,INDEPENDIENTE,267,\N,\N,\N,1,,1862,sin_informacion,Digital
26,VALLE,0,0,0,0,1167012,EMPLEADO,666,Mantiene,Minimo Ahorro,,1,0.03,1417,Restaurante,Digital
26,ATLANTICO,0,0,0,0,\N,,294,\N,\N,\N,0,,1408,sin_informacion,No_digital
24,CORDOBA,0,0,0,0,\N,,732,\N,\N,\N,1,,3724,sin_informacion,No_digital
25,"BOGOTA, D.C.",0,0,0,0,\N,,1,\N,\N,\N,0,0.32,1480,sin_informacion,No_digital
20,,0,0,0,0,\N,,764,\N,\N,\N,0,,1217,sin_informacion,No_digital
28,"BOGOTA, D.C.",0,0,0,0,\N,,358,\N,\N,\N,0,,1780,sin_informacion,No_digital
26,,0,0,0,0,\N,,376,\N,\N,\N,0,,1780,sin_informacion,No_digital
23,,0,0,0,0,\N,,350,\N,\N,\N,0,,1390,sin_informacion,No_digital
27,"BOGOTA, D.C.",0,0,0,0,1358212,EMPLEADO,788,\N,\N,\N,1,0.0,1889,sin_informacion,No_digital
24,CASANARE,0,0,0,0,\N,,222,\N,\N,\N,0,0.03,2044,sin_informacion,No_digital
28,HUILA,0,0,0,0,1718012,EMPLEADO,782,Aumento,Minimo Ahorro,,0,0.1,1390,,Digital
28,SANTANDER,0,0,0,0,908526,ESTUDIANTE,682,\N,\N,\N,1,0.0,1989,sin_informacion,Digital
27,,0,0,0,0,\N,,254,\N,\N,\N,0,,1953,sin_informacion,No_digital
27,CALDAS,0,0,0,0,1696073,EMPLEADO,789,\N,\N,\N,1,0.77,2071,sin_informacion,Digital
23,,0,0,0,0,\N,,251,\N,\N,\N,0,,1817,sin_informacion,No_digital
23,,0,0,0,0,\N,,1,\N,\N,\N,0,,1408,sin_informacion,No_digital
21,,0,0,0,0,\N,,643,\N,\N,\N,0,,1226,sin_informacion,No_digital
25,ANTIOQUIA,0,0,0,0,1687012,EMPLEADO,598,Bajo,,Pago afectado,1,0.0,1371,sin_informacion,No_digital
26,ANTIOQUIA,0,0,0,0,1233033,EMPLEADO,649,Bajo,Minimo Ahorro,,1,0.0,1480,Viajes,No_digital
28,ANTIOQUIA,0,0,0,0,1450233,INDEPENDIENTE,321,Bajo,Minimo Ahorro,,1,0.0,1635,sin_informacion,Digital
25,VALLE DEL CAUCA,0,0,0,0,\N,,1,\N,\N,\N,0,0.21,1162,sin_informacion,No_digital
29,"BOGOTA, D.C.",0,0,0,0,1328012,EMPLEADO,528,\N,\N,\N,0,,1317,sin_informacion,No_digital
20,"BOGOTA, D.C.",0,0,0,0,\N,,7,\N,\N,\N,0,,1353,sin_informacion,No_digital
28,"BOGOTA, D.C.",0,0,0,0,\N,,267,\N,\N,\N,0,0.0,1671,sin_informacion,No_digital
28,,0,0,0,0,\N,,1,\N,\N,\N,0,,1281,sin_informacion,No_digital
21,CUNDINAMARCA,0,0,0,0,1739898,INDEPENDIENTE,610,\N,\N,\N,1,0.29,1435,sin_informacion,Digital
29,META,0,0,0,0,\N,,705,\N,\N,\N,0,0.25,1281,sin_informacion,No_digital
20,"BOGOTA, D.C.",0,0,0,0,1548344,EMPLEADO,702,\N,\N,\N,1,0.0,1780,sin_informacion,Digital
27,"BOGOTA, D.C.",0,0,0,0,1034012,ESTUDIANTE,0,\N,\N,\N,0,0.07,1290,sin_informacion,No_digital
22,ATLANTICO,0,0,0,0,1937032,EMPLEADO,736,Aumento,Ahorro,,1,0.22,2325,Supermercado,Digital
22,,0,0,0,0,\N,,0,\N,\N,\N,0,,1181,sin_informacion,No_digital
23,ANTIOQUIA,0,0,0,0,1338657,ESTUDIANTE,353,\N,\N,\N,0,0.08,1499,sin_informacion,Digital
26,"BOGOTA, D.C.",0,0,0,0,\N,,652,\N,\N,\N,0,,1371,sin_informacion,No_digital
30,,0,0,0,0,\N,,4,\N,\N,\N,0,,0,sin_informacion,No_digital
25,QUINDIO,0,0,0,0,\N,,1,\N,\N,\N,0,0.0,1499,sin_informacion,No_digital
21,,0,0,0,0,\N,,1,\N,\N,\N,0,,1762,sin_informacion,No_digital
27,"BOGOTA, D.C.",0,0,0,1,2643033,EMPLEADO,0,Bajo,Ahorro,,0,,1099,Farmacia,No_digital
30,ANTIOQUIA,0,0,0,0,\N,,476,\N,\N,\N,0,,1971,sin_informacion,No_digital
23,CALDAS,0,0,0,0,\N,,372,\N,\N,\N,0,,1853,sin_informacion,No_digital
25,"BOGOTA, D.C.",0,0,0,0,1130012,EMPLEADO,600,\N,\N,\N,1,,1299,sin_informacion,No_digital
30,"BOGOTA, D.C.",0,0,0,0,1130012,EMPLEADO,727,Bajo,Minimo Ahorro,,1,,1399,Restaurante,No_digital
28,SANTANDER,0,0,0,0,1637012,EMPLEADO,630,\N,\N,\N,1,0.0,1262,sin_informacion,Digital
18,,0,0,0,0,\N,,0,\N,\N,\N,0,,0,sin_informacion,No_digital
18,,0,0,0,0,\N,,0,\N,\N,\N,0,,0,sin_informacion,No_digital
22,,0,0,0,0,\N,,400,\N,\N,\N,0,,1971,sin_informacion,No_digital
26,LA GUAJIRA,0,0,0,0,1735446,EMPLEADO,280,\N,\N,\N,0,0.0,1526,sin_informacion,Digital
27,ANTIOQUIA,0,0,0,0,1346012,EMPLEADO,413,,Sin Ahorro,Pago normal,1,0.32,2089,sin_informacion,Digital
27,,0,0,0,0,\N,,655,\N,\N,\N,0,,1380,sin_informacion,No_digital
27,ANTIOQUIA,0,0,0,0,\N,,638,\N,\N,\N,1,,2098,sin_informacion,No_digital
28,CUNDINAMARCA,0,0,0,0,\N,,530,\N,\N,\N,0,0.0,2007,sin_informacion,No_digital
28,HUILA,0,0,0,0,1368968,INDEPENDIENTE,410,\N,\N,\N,0,0.0,2053,sin_informacion,Digital
28,ATLANTICO,0,0,0,1,908526,EMPLEADO,395,\N,\N,\N,0,0.09,2234,sin_informacion,Digital
27,ANTIOQUIA,0,0,0,0,4223232,EMPLEADO,602,,,Pago normal,1,0.04,6105,sin_informacion,No_digital
25,,0,0,0,0,\N,,150,\N,\N,\N,0,,1499,sin_informacion,No_digital
20,NORTE DE SANTANDER,0,0,0,0,1746330,ESTUDIANTE,443,\N,\N,\N,0,0.03,1880,sin_informacion,Digital
26,"BOGOTA, D.C.",0,0,0,0,\N,,678,\N,\N,\N,0,0.33,1589,sin_informacion,No_digital
30,HUILA,0,0,0,0,\N,,1,\N,\N,\N,0,,1199,sin_informacion,No_digital
29,,0,0,0,0,\N,,771,\N,\N,\N,0,,1244,sin_informacion,No_digital
24,,0,0,0,0,\N,,195,\N,\N,\N,0,,1299,sin_informacion,No_digital
28,CUNDINAMARCA,0,0,0,0,2386033,EMPLEADO,743,Mantiene,Minimo Ahorro,,0,0.04,1399,,No_digital
26,ANTIOQUIA,0,0,0,0,1313012,EMPLEADO,760,Aumento,Minimo Ahorro,Pago normal,1,0.06,1444,,No_digital
21,NORTE DE SANTANDER,0,0,0,0,1119012,EMPLEADO,602,Bajo,,Pago normal,1,0.01,2053,Compras,No_digital
27,CALDAS,0,0,0,0,1035012,EMPLEADO,811,Bajo,Minimo Ahorro,Pago normal,1,0.1,1499,sin_informacion,Digital
29,,0,0,0,0,\N,,319,\N,\N,\N,0,,1371,sin_informacion,No_digital
30,,0,0,0,0,\N,,740,\N,\N,\N,0,,1780,sin_informacion,No_digital
29,,0,0,0,0,\N,,4,\N,\N,\N,0,,0,sin_informacion,No_digital
26,VALLE DEL CAUCA,0,0,0,0,1031012,EMPLEADO,817,\N,\N,\N,1,0.0,1208,sin_informacion,No_digital
25,,0,0,0,0,\N,,0,\N,\N,\N,0,,1244,sin_informacion,No_digital
22,,0,0,0,0,\N,,736,\N,\N,\N,0,,1390,sin_informacion,No_digital
25,,0,0,0,0,\N,,0,\N,\N,\N,0,,1271,sin_informacion,No_digital
19,,0,0,0,0,\N,,596,\N,\N,\N,0,,1235,sin_informacion,No_digital
27,VALLE,0,0,0,0,1715012,INDEPENDIENTE,513,\N,\N,\N,0,0.06,1680,sin_informacion,Digital
30,,0,0,0,0,\N,,437,\N,\N,\N,0,,1081,sin_informacion,No_digital
20,,0,0,0,0,\N,,0,\N,\N,\N,0,,0,sin_informacion,No_digital
20,CUNDINAMARCA,0,0,0,0,1033012,EMPLEADO,0,Mantiene,Minimo Ahorro,,0,0.03,1208,sin_informacion,No_digital
27,"BOGOTA, D.C.",0,0,0,0,1746490,INDEPENDIENTE,0,\N,\N,\N,0,0.0,1244,sin_informacion,Digital
21,CUNDINAMARCA,0,0,0,0,\N,,722,\N,\N,\N,0,,1408,sin_informacion,No_digital
27,"BOGOTA, D.C.",0,0,0,0,1018012,EMPLEADO,1,\N,\N,\N,0,0.28,1090,sin_informacion,No_digital
19,,0,0,0,0,\N,,721,\N,\N,\N,0,,1462,sin_informacion,No_digital
26,SANTANDER,0,0,0,0,1042212,EMPLEADO,418,\N,\N,\N,0,,1290,sin_informacion,Digital
21,CUNDINAMARCA,0,0,0,0,1112012,EMPLEADO,167,\N,\N,\N,0,,981,sin_informacion,Digital
22,RISARALDA,0,0,0,0,1235012,EMPLEADO,774,Bajo,Minimo Ahorro,,0,0.01,1253,,Digital
22,"BOGOTA, D.C.",0,0,0,0,\N,,228,\N,\N,\N,0,,1008,sin_informacion,No_digital
18,RISARALDA,0,1,0,0,908526,ESTUDIANTE,\N,,Minimo Ahorro,,0,,\N,sin_informacion,No_digital
30,META,0,0,0,0,3370212,EMPLEADO,761,Bajo,Sin Ahorro,Pago afectado,1,0.0,4560,,No_digital
25,ATLANTICO,0,0,0,0,1058212,EMPLEADO,421,\N,\N,\N,0,0.0,1380,sin_informacion,No_digital
26,"BOGOTA, D.C.",0,0,0,0,1119212,EMPLEADO,346,\N,\N,\N,0,,1780,sin_informacion,No_digital
22,"BOGOTA, D.C.",0,0,0,0,\N,,760,\N,\N,\N,0,,1562,sin_informacion,No_digital
18,"BOGOTA, D.C.",0,0,0,0,908526,,\N,\N,\N,\N,0,,\N,sin_informacion,No_digital
20,SANTANDER,0,0,0,0,1008212,EMPLEADO,637,Aumento,Minimo Ahorro,,1,0.36,1326,sin_informacion,Digital
30,BOLIVAR,0,0,0,0,\N,,686,\N,\N,\N,0,,1399,sin_informacion,No_digital
28,,0,0,0,0,\N,,0,\N,\N,\N,0,,1308,sin_informacion,No_digital
27,META,0,0,0,0,\N,,273,\N,\N,\N,0,0.08,1671,sin_informacion,No_digital
25,,0,0,0,0,\N,,0,\N,\N,\N,0,,1344,sin_informacion,No_digital
30,"BOGOTA, D.C.",0,0,0,0,1373412,EMPLEADO,400,\N,\N,\N,0,0.0,1735,sin_informacion,No_digital
20,,0,0,0,0,\N,,757,\N,\N,\N,0,,1471,sin_informacion,No_digital
24,"BOGOTA, D.C.",0,0,0,0,\N,,373,\N,\N,\N,0,0.0,1853,sin_informacion,No_digital
30,"BOGOTA, D.C.",0,0,0,0,1168212,EMPLEADO,408,\N,\N,\N,0,0.02,1553,sin_informacion,No_digital
29,SANTANDER,0,0,0,0,\N,,699,,,Pago afectado,0,0.02,1553,sin_informacion,No_digital
22,"BOGOTA, D.C.",0,0,0,0,1180012,EMPLEADO,672,\N,\N,\N,1,0.0,2371,sin_informacion,Digital
23,ATLANTICO,0,0,0,0,2224012,EMPLEADO,752,,Ahorro,,1,0.53,1599,sin_informacion,No_digital
22,,0,0,0,0,\N,,7,\N,\N,\N,0,,1326,sin_informacion,No_digital
28,ATLANTICO,0,0,0,0,1334483,EMPLEADO,7,\N,\N,\N,0,0.25,1662,sin_informacion,Digital
25,,0,0,0,0,\N,,150,\N,\N,\N,0,,1653,sin_informacion,No_digital
28,,0,0,0,0,\N,,817,\N,\N,\N,1,,2534,sin_informacion,No_digital
28,,0,0,0,0,\N,,661,\N,\N,\N,0,,0,sin_informacion,No_digital
26,VALLE DEL CAUCA,0,0,0,0,\N,,678,\N,\N,\N,0,,1408,sin_informacion,No_digital
27,,0,0,0,0,\N,,1,\N,\N,\N,0,,1190,sin_informacion,No_digital
25,ANTIOQUIA,0,0,0,0,\N,,741,\N,\N,\N,0,0.24,1380,sin_informacion,No_digital
26,CUNDINAMARCA,0,0,0,0,1529032,INDEPENDIENTE,755,Bajo,Ahorro,,1,0.0,1553,,Digital
27,,0,0,0,0,\N,,628,\N,\N,\N,0,,1844,sin_informacion,No_digital
26,,0,0,0,0,\N,,379,\N,\N,\N,0,,1562,sin_informacion,No_digital
21,ANTIOQUIA,0,0,0,0,\N,,579,\N,\N,\N,0,,1871,sin_informacion,No_digital
25,SANTANDER,0,0,0,0,\N,,281,\N,\N,\N,0,,1735,sin_informacion,No_digital
26,TOLIMA,0,0,0,0,\N,,739,\N,\N,\N,0,,1862,sin_informacion,No_digital
29,,0,0,0,0,\N,,659,\N,\N,\N,0,,1371,sin_informacion,No_digital
21,ANTIOQUIA,0,0,0,0,1746490,INDEPENDIENTE,0,\N,\N,\N,0,0.0,1226,sin_informacion,Digital
26,,0,0,0,0,\N,,272,\N,\N,\N,0,,1662,sin_informacion,No_digital
29,RISARALDA,0,0,0,0,\N,,737,\N,\N,\N,0,,1526,sin_informacion,No_digital
27,MAGDALENA,0,0,0,0,1050012,EMPLEADO,1,Bajo,Minimo Ahorro,,0,0.04,1417,sin_informacion,No_digital
29,"BOGOTA, D.C.",0,0,0,0,\N,,549,\N,\N,\N,0,,1853,sin_informacion,No_digital
27,,0,0,0,0,\N,,0,\N,\N,\N,0,,1244,sin_informacion,No_digital
29,,0,0,0,0,\N,,1,\N,\N,\N,0,,1271,sin_informacion,No_digital
26,NARINO,0,0,0,0,1780012,EMPLEADO,691,\N,\N,\N,1,0.0,2916,sin_informacion,No_digital
19,,0,0,0,0,\N,,7,\N,\N,\N,0,,1226,sin_informacion,No_digital
18,,0,0,0,0,\N,,\N,\N,\N,\N,0,,\N,sin_informacion,No_digital
30,HUILA,0,0,0,0,\N,,420,\N,\N,\N,0,,1680,sin_informacion,No_digital
30,CUNDINAMARCA,0,0,0,0,6141012,EMPLEADO,852,Bajo,Minimo Ahorro,Pago normal,1,0.07,3461,Viajes,Digital
19,,0,0,0,0,\N,,0,\N,\N,\N,0,,1244,sin_informacion,No_digital
26,ATLANTICO,0,0,0,0,1217212,EMPLEADO,428,\N,\N,\N,1,,1253,sin_informacion,No_digital
18,,0,0,0,0,\N,,0,\N,\N,\N,0,,0,sin_informacion,No_digital
20,"BOGOTA, D.C.",0,0,0,0,\N,,\N,Bajo,Minimo Ahorro,,0,,\N,sin_informacion,No_digital
25,,0,0,0,0,\N,,636,\N,\N,\N,0,,1390,sin_informacion,No_digital
29,BOYACA,0,0,0,0,1115012,EMPLEADO,1,\N,\N,\N,0,0.0,1353,sin_informacion,No_digital
28,,0,0,0,0,\N,,260,\N,\N,\N,0,,1499,sin_informacion,No_digital
29,BOLIVAR,0,0,0,0,2482212,EMPLEADO,352,,Minimo Ahorro,Pago normal,1,0.0,1844,sin_informacion,No_digital
23,,0,0,0,0,\N,,278,\N,\N,\N,0,,1317,sin_informacion,No_digital
18,RISARALDA,0,0,0,0,1157012,EMPLEADO,0,\N,\N,\N,0,,1471,sin_informacion,No_digital
19,,0,0,0,0,\N,,0,\N,\N,\N,0,,1271,sin_informacion,No_digital
29,"BOGOTA, D.C.",0,0,0,0,\N,,248,\N,\N,\N,0,,2162,sin_informacion,No_digital
24,"BOGOTA, D.C.",0,0,0,0,1334483,EMPLEADO,534,\N,\N,\N,0,0.0,1553,sin_informacion,Digital
23,,0,0,0,0,\N,,666,\N,\N,\N,0,,1489,sin_informacion,No_digital
27,,0,0,0,0,\N,,1,\N,\N,\N,0,,1208,sin_informacion,No_digital
18,,0,0,0,0,\N,,\N,\N,\N,\N,0,,\N,sin_informacion,No_digital
24,CUNDINAMARCA,0,0,0,0,1031012,EMPLEADO,0,Bajo,Minimo Ahorro,,0,0.0,1244,sin_informacion,Digital
28,CUNDINAMARCA,0,0,0,0,1714882,EMPLEADO,1,\N,\N,\N,0,0.15,1199,sin_informacion,Digital
23,,0,0,0,0,\N,,321,\N,\N,\N,0,,1226,sin_informacion,No_digital
18,MAGDALENA,0,0,0,0,908526,,\N,\N,\N,\N,0,,\N,sin_informacion,No_digital
27,,0,0,0,0,\N,,1,\N,\N,\N,0,,1235,sin_informacion,No_digital
26,ANTIOQUIA,0,0,0,0,\N,,701,\N,\N,\N,0,0.0,2761,sin_informacion,No_digital
20,,0,0,0,0,\N,,0,\N,\N,\N,0,,1271,sin_informacion,No_digital
25,ATLANTICO,0,0,0,0,1388524,AMA DE CASA,676,\N,\N,\N,1,,1762,sin_informacion,Digital
30,CUNDINAMARCA,0,0,0,0,1965012,EMPLEADO,782,Bajo,Minimo Ahorro,Pago normal,1,,1735,Supermercado,No_digital
24,CAQUETA,0,0,0,0,\N,,740,\N,\N,\N,0,0.0,1290,sin_informacion,No_digital
18,,0,0,0,0,\N,,0,\N,\N,\N,0,,1271,sin_informacion,No_digital
19,ATLANTICO,0,0,0,0,2400000,EMPLEADO,\N,\N,\N,\N,0,,\N,sin_informacion,Digital
25,ATLANTICO,0,0,0,0,1055012,ESTUDIANTE,428,Mantiene,Minimo Ahorro,,0,0.0,1817,sin_informacion,Digital
23,,0,0,0,0,\N,,0,\N,\N,\N,0,,1244,sin_informacion,No_digital
20,,0,0,0,0,\N,,0,\N,\N,\N,0,,1244,sin_informacion,No_digital
30,,0,0,0,0,\N,,168,\N,\N,\N,0,,1653,sin_informacion,No_digital
18,,0,0,0,0,\N,,0,\N,\N,\N,0,,1299,sin_informacion,No_digital
